,MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|SE3
180,08.01.2023 12:00 - 08.01.2023 13:00,47.0,EUR,
181,08.01.2023 13:00 - 08.01.2023 14:00,48.96,EUR,
182,08.01.2023 14:00 - 08.01.2023 15:00,54.91,EUR,
183,08.01.2023 15:00 - 08.01.2023 16:00,63.49,EUR,
184,08.01.2023 16:00 - 08.01.2023 17:00,66.11,EUR,
185,08.01.2023 17:00 - 08.01.2023 18:00,69.19,EUR,
186,08.01.2023 18:00 - 08.01.2023 19:00,69.91,EUR,
187,08.01.2023 19:00 - 08.01.2023 20:00,65.62,EUR,
188,08.01.2023 20:00 - 08.01.2023 21:00,60.98,EUR,
189,08.01.2023 21:00 - 08.01.2023 22:00,57.41,EUR,
190,08.01.2023 22:00 - 08.01.2023 23:00,50.02,EUR,
191,08.01.2023 23:00 - 09.01.2023 00:00,46.29,EUR,
192,09.01.2023 00:00 - 09.01.2023 01:00,69.04,EUR,
193,09.01.2023 01:00 - 09.01.2023 02:00,64.38,EUR,
194,09.01.2023 02:00 - 09.01.2023 03:00,60.28,EUR,
195,09.01.2023 03:00 - 09.01.2023 04:00,39.41,EUR,
196,09.01.2023 04:00 - 09.01.2023 05:00,47.34,EUR,
197,09.01.2023 05:00 - 09.01.2023 06:00,68.99,EUR,
198,09.01.2023 06:00 - 09.01.2023 07:00,104.56,EUR,
199,09.01.2023 07:00 - 09.01.2023 08:00,128.36,EUR,
200,09.01.2023 08:00 - 09.01.2023 09:00,147.32,EUR,
201,09.01.2023 09:00 - 09.01.2023 10:00,161.06,EUR,
202,09.01.2023 10:00 - 09.01.2023 11:00,154.14,EUR,
203,09.01.2023 11:00 - 09.01.2023 12:00,155.31,EUR,
204,09.01.2023 12:00 - 09.01.2023 13:00,136.49,EUR,
205,09.01.2023 13:00 - 09.01.2023 14:00,133.96,EUR,
206,09.01.2023 14:00 - 09.01.2023 15:00,139.12,EUR,
207,09.01.2023 15:00 - 09.01.2023 16:00,146.39,EUR,
208,09.01.2023 16:00 - 09.01.2023 17:00,156.85,EUR,
209,09.01.2023 17:00 - 09.01.2023 18:00,164.68,EUR,
210,09.01.2023 18:00 - 09.01.2023 19:00,163.34,EUR,
211,09.01.2023 19:00 - 09.01.2023 20:00,157.7,EUR,
212,09.01.2023 20:00 - 09.01.2023 21:00,145.07,EUR,
213,09.01.2023 21:00 - 09.01.2023 22:00,134.62,EUR,
214,09.01.2023 22:00 - 09.01.2023 23:00,83.84,EUR,
215,09.01.2023 23:00 - 10.01.2023 00:00,80.59,EUR,
216,10.01.2023 00:00 - 10.01.2023 01:00,76.05,EUR,
217,10.01.2023 01:00 - 10.01.2023 02:00,79.95,EUR,
218,10.01.2023 02:00 - 10.01.2023 03:00,78.82,EUR,
219,10.01.2023 03:00 - 10.01.2023 04:00,80.06,EUR,
220,10.01.2023 04:00 - 10.01.2023 05:00,83.16,EUR,
221,10.01.2023 05:00 - 10.01.2023 06:00,91.02,EUR,
222,10.01.2023 06:00 - 10.01.2023 07:00,132.65,EUR,
223,10.01.2023 07:00 - 10.01.2023 08:00,149.94,EUR,
224,10.01.2023 08:00 - 10.01.2023 09:00,160.53,EUR,
225,10.01.2023 09:00 - 10.01.2023 10:00,155.77,EUR,
226,10.01.2023 10:00 - 10.01.2023 11:00,149.94,EUR,
227,10.01.2023 11:00 - 10.01.2023 12:00,141.91,EUR,
228,10.01.2023 12:00 - 10.01.2023 13:00,140.07,EUR,
229,10.01.2023 13:00 - 10.01.2023 14:00,139.97,EUR,
230,10.01.2023 14:00 - 10.01.2023 15:00,141.92,EUR,
231,10.01.2023 15:00 - 10.01.2023 16:00,142.42,EUR,
232,10.01.2023 16:00 - 10.01.2023 17:00,139.31,EUR,
233,10.01.2023 17:00 - 10.01.2023 18:00,142.83,EUR,
234,10.01.2023 18:00 - 10.01.2023 19:00,137.08,EUR,
235,10.01.2023 19:00 - 10.01.2023 20:00,121.46,EUR,
236,10.01.2023 20:00 - 10.01.2023 21:00,105.64,EUR,
237,10.01.2023 21:00 - 10.01.2023 22:00,86.53,EUR,
238,10.01.2023 22:00 - 10.01.2023 23:00,79.35,EUR,
239,10.01.2023 23:00 - 11.01.2023 00:00,55.77,EUR,
240,11.01.2023 00:00 - 11.01.2023 01:00,42.03,EUR,
241,11.01.2023 01:00 - 11.01.2023 02:00,27.73,EUR,
242,11.01.2023 02:00 - 11.01.2023 03:00,25.17,EUR,
243,11.01.2023 03:00 - 11.01.2023 04:00,22.57,EUR,
244,11.01.2023 04:00 - 11.01.2023 05:00,25.49,EUR,
245,11.01.2023 05:00 - 11.01.2023 06:00,26.6,EUR,
246,11.01.2023 06:00 - 11.01.2023 07:00,48.54,EUR,
247,11.01.2023 07:00 - 11.01.2023 08:00,71.49,EUR,
248,11.01.2023 08:00 - 11.01.2023 09:00,72.71,EUR,
249,11.01.2023 09:00 - 11.01.2023 10:00,69.96,EUR,
250,11.01.2023 10:00 - 11.01.2023 11:00,68.89,EUR,
251,11.01.2023 11:00 - 11.01.2023 12:00,69.29,EUR,
252,11.01.2023 12:00 - 11.01.2023 13:00,68.86,EUR,
253,11.01.2023 13:00 - 11.01.2023 14:00,66.8,EUR,
254,11.01.2023 14:00 - 11.01.2023 15:00,69.52,EUR,
255,11.01.2023 15:00 - 11.01.2023 16:00,75.91,EUR,
256,11.01.2023 16:00 - 11.01.2023 17:00,76.84,EUR,
257,11.01.2023 17:00 - 11.01.2023 18:00,74.08,EUR,
258,11.01.2023 18:00 - 11.01.2023 19:00,75.08,EUR,
259,11.01.2023 19:00 - 11.01.2023 20:00,67.99,EUR,
260,11.01.2023 20:00 - 11.01.2023 21:00,65.16,EUR,
261,11.01.2023 21:00 - 11.01.2023 22:00,60.01,EUR,
262,11.01.2023 22:00 - 11.01.2023 23:00,49.91,EUR,
263,11.01.2023 23:00 - 12.01.2023 00:00,43.32,EUR,
264,12.01.2023 00:00 - 12.01.2023 01:00,19.88,EUR,
265,12.01.2023 01:00 - 12.01.2023 02:00,5.55,EUR,
266,12.01.2023 02:00 - 12.01.2023 03:00,4.69,EUR,
267,12.01.2023 03:00 - 12.01.2023 04:00,0.1,EUR,
268,12.01.2023 04:00 - 12.01.2023 05:00,2.73,EUR,
269,12.01.2023 05:00 - 12.01.2023 06:00,24.94,EUR,
270,12.01.2023 06:00 - 12.01.2023 07:00,36.01,EUR,
271,12.01.2023 07:00 - 12.01.2023 08:00,59.98,EUR,
272,12.01.2023 08:00 - 12.01.2023 09:00,65.18,EUR,
273,12.01.2023 09:00 - 12.01.2023 10:00,65.03,EUR,
274,12.01.2023 10:00 - 12.01.2023 11:00,66.3,EUR,
275,12.01.2023 11:00 - 12.01.2023 12:00,66.72,EUR,
276,12.01.2023 12:00 - 12.01.2023 13:00,66.6,EUR,
277,12.01.2023 13:00 - 12.01.2023 14:00,70.85,EUR,
278,12.01.2023 14:00 - 12.01.2023 15:00,73.76,EUR,
279,12.01.2023 15:00 - 12.01.2023 16:00,92.89,EUR,
280,12.01.2023 16:00 - 12.01.2023 17:00,96.7,EUR,
281,12.01.2023 17:00 - 12.01.2023 18:00,109.94,EUR,
282,12.01.2023 18:00 - 12.01.2023 19:00,116.62,EUR,
283,12.01.2023 19:00 - 12.01.2023 20:00,98.37,EUR,
284,12.01.2023 20:00 - 12.01.2023 21:00,74.08,EUR,
285,12.01.2023 21:00 - 12.01.2023 22:00,74.5,EUR,
286,12.01.2023 22:00 - 12.01.2023 23:00,66.84,EUR,
287,12.01.2023 23:00 - 13.01.2023 00:00,42.49,EUR,
288,13.01.2023 00:00 - 13.01.2023 01:00,32.64,EUR,
289,13.01.2023 01:00 - 13.01.2023 02:00,21.87,EUR,
290,13.01.2023 02:00 - 13.01.2023 03:00,16.54,EUR,
291,13.01.2023 03:00 - 13.01.2023 04:00,18.46,EUR,
292,13.01.2023 04:00 - 13.01.2023 05:00,24.82,EUR,
293,13.01.2023 05:00 - 13.01.2023 06:00,30.32,EUR,
